QUERIES,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
QUERY  1 ,2,0.2,-9
QUERY  2 ,2,0.2,-7
QUERY  3 ,1,0.1,0
QUERY  4 ,3,0.3,-16.25
QUERY  5 ,2,0.2,-9
QUERY  6 ,1,0.1,0
QUERY  7 ,2,0.2,-25
QUERY  8 ,3,0.3,-11.75
QUERY  9 ,4,0.4,-5.2
QUERY  10 ,0,0,0
QUERY  11 ,4,0.4,-2.1
QUERY  12 ,2,0.2,-33
QUERY  13 ,1,0.1,0
QUERY  14 ,1,0.1,0
QUERY  15 ,0,0,0
QUERY  16 ,2,0.2,-36
QUERY  17 ,4,0.4,-0.4
QUERY  18 ,2,0.2,-49
QUERY  19 ,1,0.1,0
QUERY  20 ,0,0,0
QUERY  21 ,2,0.2,-64
QUERY  22 ,0,0,0
QUERY  23 ,4,0.4,-7.3
QUERY  24 ,2,0.2,-4
QUERY  25 ,2,0.2,-35
QUERY  26 ,1,0.1,0
QUERY  27 ,2,0.2,-1
QUERY  28 ,5,0.5,-4.5
QUERY  29 ,1,0.1,0
QUERY  30 ,2,0.2,-4
QUERY  31 ,5,0.5,-2.9
QUERY  32 ,2,0.2,-9
QUERY  33 ,4,0.4,-6.5
QUERY  34 ,4,0.4,0.1
QUERY  35 ,1,0.1,0
QUERY  36 ,1,0.1,0
QUERY  37 ,1,0.1,0
QUERY  38 ,1,0.1,0
QUERY  39 ,1,0.1,1
QUERY  40 ,3,0.3,0.5
QUERY  41 ,4,0.4,-2.8
QUERY  42 ,4,0.4,-2.9
QUERY  43 ,0,0,0
QUERY  44 ,4,0.4,-5.6
QUERY  45 ,4,0.4,-5.6
QUERY  46 ,3,0.3,-1
QUERY  47 ,1,0.1,0
QUERY  48 ,5,0.5,-1.7
QUERY  49 ,6,0.6,-0.685714286
QUERY  50 ,3,0.3,-3.75
QUERY  51 ,1,0.1,0
QUERY  52 ,3,0.3,-6.25
QUERY  53 ,2,0.2,1
QUERY  54 ,2,0.2,-4
QUERY  55 ,2,0.2,-3
QUERY  56 ,7,0.7,0.5
QUERY  57 ,2,0.2,-52
QUERY  58 ,3,0.3,-8.5
QUERY  59 ,4,0.4,-3.2
QUERY  60 ,1,0.1,0
QUERY  61 ,1,0.1,0
QUERY  62 ,3,0.3,-24.25
QUERY  63 ,4,0.4,-4.7
QUERY  64 ,3,0.3,-8.25
QUERY  65 ,1,0.1,0
QUERY  66 ,4,0.4,0
QUERY  67 ,2,0.2,-3
QUERY  68 ,4,0.4,-6.5
QUERY  69 ,1,0.1,0
QUERY  70 ,3,0.3,-11.5
QUERY  71 ,5,0.5,-1.15
QUERY  72 ,0,0,0
QUERY  73 ,0,0,0
QUERY  74 ,3,0.3,-5.5
QUERY  75 ,5,0.5,-1.55
QUERY  76 ,4,0.4,-3
QUERY  77 ,3,0.3,-12
QUERY  78 ,0,0,0
QUERY  79 ,3,0.3,-9.25
QUERY  80 ,4,0.4,-4.1
QUERY  81 ,3,0.3,-3
QUERY  82 ,1,0.1,0
QUERY  83 ,1,0.1,1
QUERY  84 ,1,0.1,0
QUERY  85 ,0,0,0
QUERY  86 ,1,0.1,1
QUERY  87 ,2,0.2,1
QUERY  88 ,2,0.2,-57
QUERY  89 ,3,0.3,-3.25
QUERY  90 ,4,0.4,-1.6
QUERY  91 ,2,0.2,-16
QUERY  92 ,4,0.4,-5.6
QUERY  93 ,1,0.1,0
QUERY  94 ,4,0.4,-4.8
QUERY  95 ,5,0.5,-1.65
QUERY  96 ,5,0.5,0.3
QUERY  97 ,1,0.1,0
QUERY  98 ,2,0.2,-4
QUERY  99 ,3,0.3,-4
QUERY  100 ,2,0.2,-57
AVERAGE,2.42,0.242,-6.891357143
